Percent Peptide,Amino Acid Cut position,predictions,G_20,AA_18,GC_Count,A,GG,TT_17,MFE
72.87,360,0.5444118584,0,0,11,17,1,0,-0.3
65.8,1868,0.6175122138,0,0,11,11,1,0,-3.5
84.21,416,0.4762318347,0,0,16,9,1,0,-2.3
56.39,1601,0.4598820009,0,0,10,13,1,0,-1.8
4.3,33,0.2908406197,1,0,10,13,1,0,-0.5
67.7,1922,0.5704079655,0,0,13,8,1,0,-3.3
52.23,258,0.592484894,1,0,20,10,1,0,-8.4
44.24,1256,0.6194023163,1,0,12,10,1,0,-1.8
16.31,355,0.4947430432,0,0,20,8,1,0,-6.8
16.31,355,0.4947430432,0,0,20,8,1,0,-6.8
78.1,328,0.3752269313,0,0,16,12,1,0,-4.2
61.72,474,0.4143436943,1,0,12,11,1,0,-0.8
82.39,276,0.5607602117,0,0,13,10,1,0,0
41.95,474,0.6174712871,1,0,13,12,1,0,-3.8
78.44,171,0.5004091901,0,0,15,10,1,0,-3.4
90.17,2560,0.2402105197,1,0,12,13,1,0,-2.2
76.54,124,0.5123059645,0,0,10,12,1,0,0
4.3,33,0.4098619261,0,0,10,13,1,0,-0.5
43.12,94,0.5861378369,0,0,10,12,1,0,-1.3
6.83,194,0.5083450384,0,0,12,12,1,0,-1.7
46.07,170,0.6424022417,0,0,17,10,1,0,-5.5
58.51,1661,0.591609864,0,0,9,8,1,0,-2
18.25,518,0.6313676905,0,1,17,13,1,0,-5.1
45.87,100,0.443900453,1,0,14,9,1,0,-7.5
12.55,62,0.6305218551,0,0,15,8,1,0,-2.6
89.25,1943,0.3551152317,0,0,14,11,1,0,-2.1
89.25,1943,0.3551152317,0,0,14,11,1,0,-2.1
45.04,268,0.6712923254,0,0,15,10,1,0,-2.9
59.64,458,0.3396189216,1,1,6,17,1,0,-1.1
16.26,354,0.554644706,1,0,20,8,1,0,-4.7
16.26,354,0.554644706,1,0,20,8,1,0,-4.7
78.1,328,0.3835387749,0,0,16,12,1,0,-4.2
19.56,221,0.5713270027,1,0,16,8,1,0,-4.2
11.14,44,0.1918936941,0,0,16,7,1,0,-3.2
66.1,1439,0.7059911675,1,0,17,8,1,0,-2.8
66.1,1439,0.7059911675,1,0,17,8,1,0,-2.8
98.66,587,0.2260444309,1,0,18,7,1,0,-5.5
1.5,17,0.6728217154,0,0,14,10,1,0,-6.6
1.01,4,0.5940822656,1,0,18,11,1,0,-5.7
26.88,763,0.6298749852,0,0,17,9,1,0,-3.4
22.69,135,0.7471390019,0,0,14,8,1,0,-3.9
80.62,911,0.5854654185,0,0,13,13,1,0,-2.1
80.49,293,0.540375454,1,0,19,10,1,0,-3.3
13.76,30,0.5893242228,1,0,17,5,1,0,-6.8
68.62,527,0.4613847192,1,0,15,6,1,0,-10.3
57.84,1642,0.7199002459,0,0,12,11,1,0,-2
10.92,310,0.6781406533,0,0,16,9,1,0,-3.1
43.1,331,0.4996671892,1,0,12,10,1,0,-3.4
59.7,200,0.6154171379,0,0,13,10,1,1,-3.9
49.41,294,0.5705774338,0,1,12,9,1,0,-3.6
93.59,2657,0.2317550952,0,0,10,16,1,0,-0.6
91.94,308,0.4406354964,0,0,12,11,1,0,-0.8
90.21,2561,0.3890429003,0,0,13,13,1,0,-0.8
50.88,575,0.674194574,0,0,13,10,1,0,-4.3
65.88,392,0.7274310081,0,0,18,10,1,0,-2.3
2.08,16,0.484396172,0,0,19,5,1,0,-7.1
66.61,1450,0.433673934,0,0,14,9,1,0,-0.2
66.61,1450,0.433673934,0,0,14,9,1,0,-0.2
36.29,790,0.6403670819,0,1,17,9,1,0,-5.3
36.29,790,0.6403670819,0,1,17,9,1,0,-5.3
81.65,178,0.4295260995,0,0,9,12,1,1,-0.5
61.11,99,0.5468501976,0,0,16,7,1,0,-3.1
95.41,208,0.3304016684,1,0,19,5,1,0,-7.5
39.77,1129,0.5710475192,1,0,15,12,1,0,-2.3
76.53,740,0.5760529154,0,1,12,14,1,0,-1.3
22.68,644,0.6243503475,1,0,13,10,1,0,-2.8
85.16,654,0.3776143351,1,0,10,16,1,0,-0.8
87.53,2485,0.5140931709,0,0,13,10,1,0,-3.8
88.94,2525,0.4453548166,1,0,17,9,1,0,-6.1
26.39,157,0.5168211871,0,0,16,8,1,0,-5.9
12.39,27,0.5035094466,0,1,10,10,1,0,-1.4
30.25,180,0.6508489781,1,0,10,12,1,0,-2.9
62.87,1785,0.4310209889,0,0,8,10,1,1,-1
76.28,862,0.629647012,0,0,16,8,1,0,-2.3
20.58,448,0.620321017,0,0,14,10,1,0,-3.7
20.58,448,0.620321017,0,0,14,10,1,0,-3.7
6.55,74,0.5747327853,0,0,11,11,1,0,-2.4
6.83,194,0.6817258651,0,0,11,13,1,0,-1.7
55.2,1567,0.4457953822,0,0,9,11,1,0,0
6.87,25,0.5120353802,0,0,14,8,1,0,-5.9
15.97,95,0.6506766709,1,1,11,13,1,0,-1.1
40.71,460,0.4860502206,0,1,12,10,1,0,-2.3
39.47,446,0.4816440129,0,0,14,11,1,0,-2.5
79.08,2245,0.4554503216,0,0,15,9,1,0,-3.5
54.04,415,0.5916450041,0,1,10,13,1,0,-1.4
62.69,373,0.5487629834,0,0,15,12,1,0,-2.5
11.76,256,0.5617918933,0,0,15,12,1,0,-0.9
11.76,256,0.5617918933,0,0,15,12,1,0,-0.9
69.64,344,0.4556350807,0,0,16,7,1,0,-2.5
57.46,1251,0.6694770671,0,0,16,12,1,0,-5
57.46,1251,0.6694770671,0,0,16,12,1,0,-5
98.99,2155,0.1708750175,0,0,17,9,1,0,-2
98.99,2155,0.1708750175,0,0,17,9,1,0,-2
82.66,305,0.5072004452,0,0,17,9,1,0,-3.8
1.36,5,0.6002272873,1,0,20,8,1,0,-5.4
48.29,467,0.5450770953,0,0,18,6,1,0,-5.2
50.75,170,0.5568530269,0,0,16,10,1,0,-3.2
77.81,2209,0.3545229735,0,0,13,10,1,0,-0.8
99.12,2814,0.241392569,0,0,17,8,1,0,-6.9
89.91,196,0.2430828261,0,0,19,6,1,0,-6.7
8.04,175,0.5011373614,0,0,13,5,1,0,0
8.04,175,0.5011373614,0,0,13,5,1,0,0
